location_name,QAQC,event_year,event_name_calc,Module,Corner,Species_Original,Plant_Concept_Current_IDF,Seedling_Ht_5_50,Seedling_Ht_50_137,Sapling_DBH_0_1,Sapling_DBH_1_2half,Sapling_DBH_2half_5,Sapling_DBH_5_10,Seedling_Ht_5_15,Seedling_Ht_15_30,Seedling_Ht_30_50
CHIC002,-1,2016,CHIC002Q,2,3,CELTLAE,{4030CF4F-20A2-4673-BF72-626F8D0D4963},,,,,,,1,,
CHIC002,-1,2016,CHIC002Q,4,2,LIGUSIN,{F1A2ACD7-D7B5-47A0-A243-E38B0BE4B677},,,,,,,3,1,
CHIC002,-1,2016,CHIC002Q,2,2,FRAXAME,{79F9F1F4-656B-47A6-B616-41761786A6BD},,,,,,,4,,
CHIC002,-1,2016,CHIC002Q,4,2,FRAXAME,{79F9F1F4-656B-47A6-B616-41761786A6BD},,,,,,,1,,
CHIC002,-1,2016,CHIC002Q,2,3,LIGUSIN,{F1A2ACD7-D7B5-47A0-A243-E38B0BE4B677},,,,,,,1,,
CHIC002,-1,2016,CHIC002Q,3,2,FRAXAME,{79F9F1F4-656B-47A6-B616-41761786A6BD},,,,,,,1,,
CHIC002,-1,2016,CHIC002Q,3,4,FRAXAME,{79F9F1F4-656B-47A6-B616-41761786A6BD},,,,,,1,7,,
CHIC002,-1,2016,CHIC002Q,1,4,CELTLAE,{4030CF4F-20A2-4673-BF72-626F8D0D4963},,,,,,,2,,
CHIC002,-1,2016,CHIC002Q,2,2,QUERSTE,{E14F490E-05C9-42D1-833F-D030CEF137A1},,,,,,,,,1
CHIC002,-1,2016,CHIC002Q,1,2,FRAXAME,{79F9F1F4-656B-47A6-B616-41761786A6BD},,,,,,,2,,
CHIC002,-1,2016,CHIC002Q,4,3,CELTLAE,{4030CF4F-20A2-4673-BF72-626F8D0D4963},,,,,,,1,,
CHIC002,-1,2016,CHIC002Q,3,4,LIGUSIN,{F1A2ACD7-D7B5-47A0-A243-E38B0BE4B677},,,,,,,1,,
CHIC002,-1,2016,CHIC002Q,3,4,CARYCAR,{F2D9F1A7-B26A-43D7-942C-C4D459A74F72},,,,,,1,1,,
CHIC002,-1,2016,CHIC002Q,3,2,CELTLAE,{4030CF4F-20A2-4673-BF72-626F8D0D4963},,,,,,,1,,
CHIC002,-1,2016,CHIC002Q,2,2,CERCCAN,{2699CD6D-DC8D-4819-B575-F7BA35088701},,,,,,,1,,
STRI008,-1,2011,STRI008Q,2,3,GLEDTRI,{32BD5BD3-F4A9-401E-BC93-A9F77562B0AD},1,,,,,,,,
STRI008,-1,2011,STRI008Q,1,4,ULMUALA,{1B0FB3A9-1387-4901-985E-2DBCBCBFC8F1},5,,,,,,,,
STRI008,-1,2011,STRI008Q,4,2,ULMUALA,{1B0FB3A9-1387-4901-985E-2DBCBCBFC8F1},5,,,,,,,,
STRI008,-1,2011,STRI008Q,2,3,LIGUSIN,{F1A2ACD7-D7B5-47A0-A243-E38B0BE4B677},19,16,,,,,,,
STRI008,-1,2011,STRI008Q,4,2,CELTLAE,{4030CF4F-20A2-4673-BF72-626F8D0D4963},5,,,,,,,,
STRI008,-1,2011,STRI008Q,2,3,CELTLAE,{4030CF4F-20A2-4673-BF72-626F8D0D4963},,1,,,,,,,
STRI008,-1,2011,STRI008Q,4,3,LIGUSIN,{F1A2ACD7-D7B5-47A0-A243-E38B0BE4B677},,1,,,,,,,
STRI008,-1,2011,STRI008Q,3,2,ULMUALA,{1B0FB3A9-1387-4901-985E-2DBCBCBFC8F1},3,,,,,,,,
STRI008,-1,2011,STRI008Q,1,2,SIDELYC,{24722895-7DA7-416B-AE02-4BAD8A2AA872},,,,,,,,,
STRI008,-1,2011,STRI008Q,1,4,JUNIVIR,{93F0EB64-8D04-4DF8-9E2E-AE19AD08B5DE},2,,,,,,,,
STRI008,-1,2011,STRI008Q,3,2,MORURUB,{9208BD56-4439-4355-95F1-6C3D3ABC6A2C},,,,,,1,,,
STRI008,-1,2011,STRI008Q,3,2,LIGUSIN,{F1A2ACD7-D7B5-47A0-A243-E38B0BE4B677},2,,2,,,,,,
STRI008,-1,2011,STRI008Q,2,2,FRANCAR,{C6B5C930-2A70-4986-90B7-B88F03AD04F2},,,2,2,,,,,
STRI008,-1,2011,STRI008Q,1,2,FRANCAR,{C6B5C930-2A70-4986-90B7-B88F03AD04F2},2,,4,,,,,,
STRI008,-1,2011,STRI008Q,1,2,Carya sp.,{835ABC0C-CAD0-4D93-BCB7-3805304F5CAF},1,,,,,,,,
STRI008,-1,2011,STRI008Q,3,2,FRANCAR,{C6B5C930-2A70-4986-90B7-B88F03AD04F2},,,,,1,,,,
STRI008,-1,2011,STRI008Q,1,2,JUNIVIR,{93F0EB64-8D04-4DF8-9E2E-AE19AD08B5DE},,,,,,1,,,
STRI008,-1,2011,STRI008Q,2,2,ULMUALA,{1B0FB3A9-1387-4901-985E-2DBCBCBFC8F1},1,,,,,,,,
STRI008,-1,2011,STRI008Q,3,2,CELTLAE,{4030CF4F-20A2-4673-BF72-626F8D0D4963},,1,,,,,,,
STRI008,-1,2011,STRI008Q,2,3,FRAXAME,{79F9F1F4-656B-47A6-B616-41761786A6BD},2,,,,,,,,
STRI008,-1,2011,STRI008Q,1,2,LIGUSIN,{F1A2ACD7-D7B5-47A0-A243-E38B0BE4B677},2,,4,,,,,,
STRI008,-1,2011,STRI008Q,1,2,CELTLAE,{4030CF4F-20A2-4673-BF72-626F8D0D4963},6,,,,,,,,
STRI008,-1,2011,STRI008Q,2,2,LIGUSIN,{F1A2ACD7-D7B5-47A0-A243-E38B0BE4B677},5,,,,,,,,
STRI008,-1,2011,STRI008Q,2,3,FRANCAR,{C6B5C930-2A70-4986-90B7-B88F03AD04F2},,,2,,,,,,
STRI008,-1,2011,STRI008Q,1,2,ULMUALA,{1B0FB3A9-1387-4901-985E-2DBCBCBFC8F1},9,,,,,,,,
STRI008,-1,2011,STRI008Q,2,3,ULMUALA,{1B0FB3A9-1387-4901-985E-2DBCBCBFC8F1},1,,,,,,,,
STRI008,-1,2011,STRI008Q,1,4,Carya sp.,{835ABC0C-CAD0-4D93-BCB7-3805304F5CAF},1,,,,,,,,
STRI008,-1,2011,STRI008Q,1,4,CELTLAE,{4030CF4F-20A2-4673-BF72-626F8D0D4963},8,,,,,,,,
STRI008,-1,2011,STRI008Q,4,2,LIGUSIN,{F1A2ACD7-D7B5-47A0-A243-E38B0BE4B677},2,,3,,,,,,
STRI008,-1,2011,STRI008Q,4,3,FRANCAR,{C6B5C930-2A70-4986-90B7-B88F03AD04F2},6,,6,,,,,,
STRI008,-1,2011,STRI008Q,1,4,LIGUSIN,{F1A2ACD7-D7B5-47A0-A243-E38B0BE4B677},6,3,,,,,,,
